frameId,t,yaw,pitch,roll,isCalibrated
974,14.660846,0.159836,-0.019873,0.055729,1
975,14.675974,0.159821,-0.019985,0.056239,1
976,14.691187,0.159903,-0.020261,0.056406,1
977,14.706231,0.160127,-0.020499,0.056286,1
978,14.721152,0.160582,-0.020628,0.055987,1
979,14.736292,0.161345,-0.020485,0.055749,1
980,14.751237,0.162146,-0.020000,0.055817,1
981,14.766207,0.162724,-0.019486,0.056017,1
982,14.781307,0.163380,-0.019433,0.056139,1
983,14.796282,0.164213,-0.019910,0.056234,1
984,14.811358,0.165089,-0.020745,0.056322,1
985,14.826441,0.166415,-0.021639,0.056427,1
986,14.841606,0.168313,-0.022283,0.056622,1
987,14.856397,0.169794,-0.022376,0.056610,1
988,14.871843,0.170673,-0.021827,0.056188,1
989,14.886769,0.171207,-0.020837,0.055813,1
990,14.901683,0.171768,-0.019860,0.055894,1
991,14.916548,0.172389,-0.019404,0.056301,1
992,14.931950,0.172922,-0.019683,0.056722,1
993,14.946780,0.173504,-0.020494,0.057067,1
994,14.961906,0.174355,-0.021177,0.057228,1
995,14.977548,0.175197,-0.021146,0.057060,1
996,14.991976,0.175815,-0.020491,0.056727,1
997,15.007040,0.176419,-0.019695,0.056582,1
998,15.022069,0.177183,-0.019309,0.056814,1
999,15.037089,0.178062,-0.019470,0.057436,1
1000,15.052082,0.178861,-0.019881,0.058115,1
1001,15.067085,0.179475,-0.020107,0.058632,1
1002,15.082219,0.180141,-0.019950,0.058838,1
1003,15.097120,0.180975,-0.019347,0.059008,1
1004,15.112478,0.181768,-0.018473,0.059296,1
1005,15.127437,0.182513,-0.017796,0.059481,1
1006,15.142494,0.183230,-0.017856,0.059456,1
1007,15.157423,0.184216,-0.018526,0.059378,1
1008,15.172496,0.185177,-0.019253,0.059426,1
1009,15.187640,0.185833,-0.019427,0.059833,1
1010,15.202615,0.186405,-0.018895,0.060414,1
1011,15.217569,0.187136,-0.018189,0.060887,1
1012,15.232619,0.188017,-0.017912,0.061165,1
1013,15.247692,0.188860,-0.018311,0.061333,1
1014,15.262800,0.189580,-0.018937,0.061417,1
1015,15.277689,0.190193,-0.019229,0.061343,1
1016,15.292836,0.190760,-0.019071,0.061231,1
1017,15.307908,0.191478,-0.018747,0.061214,1
1018,15.322962,0.192393,-0.018562,0.061241,1
1019,15.338148,0.193233,-0.018564,0.061411,1
1020,15.353259,0.193970,-0.018544,0.061888,1
1021,15.368202,0.194767,-0.018353,0.062561,1
1022,15.383197,0.195715,-0.017960,0.063120,1
1023,15.398109,0.196678,-0.017412,0.063253,1
1024,15.413370,0.197466,-0.016936,0.062931,1
1025,15.428359,0.198170,-0.016550,0.062497,1
1026,15.443599,0.198989,-0.016086,0.062233,1
1027,15.458337,0.199861,-0.015668,0.062156,1
1028,15.473593,0.200603,-0.015681,0.062016,1
1029,15.488451,0.201485,-0.016168,0.061756,1
1030,15.503640,0.202573,-0.017006,0.061623,1
1031,15.518640,0.203692,-0.017871,0.061767,1
1032,15.533681,0.204589,-0.018238,0.062096,1
1033,15.548609,0.205463,-0.017911,0.062287,1
1034,15.563742,0.206657,-0.017058,0.062297,1
